,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,gross
1630,Color,Luis Mandoki,85.0,131.0,43.0,362.0,John Savage,18000.0,Drama|Romance,Robin Wright,Message in a Bottle ,28942,19815,Raphael Sbarge,0.0,beach|bottle|jogging|letter|love,http://www.imdb.com/title/tt0139462/?ref_=fn_tt_tt_1,223.0,English,USA,PG-13,55000000.0,1999.0,652.0,6.1,2.35,0,52799004.0
1254,Color,Greg Mottola,342.0,109.0,99.0,57.0,Nelson Ascencio,176.0,Adventure|Comedy|Sci-Fi,Bobby Lee,Paul ,192462,390,Jeremy Owen,0.0,alien|geek|nerd|road trip|ufo,http://www.imdb.com/title/tt1092026/?ref_=fn_tt_tt_1,334.0,English,USA,R,40000000.0,2011.0,61.0,7.0,2.35,42000,37371385.0
1680,Color,Nicholas Stoller,232.0,131.0,89.0,372.0,Jacki Weaver,2000.0,Comedy|Romance,Alison Brie,The Five-Year Engagement ,78974,3479,David Paymer,2.0,kissing while having sex|kitchen|reference to princess diana|wedding band|wedding ring,http://www.imdb.com/title/tt1195478/?ref_=fn_tt_tt_1,141.0,English,USA,R,30000000.0,2012.0,401.0,6.2,1.85,11000,28644770.0
2300,Color,Paul Thomas Anderson,401.0,148.0,0.0,175.0,Katherine Waterston,204.0,Comedy|Crime|Drama|Mystery|Romance,Martin Dew,Inherent Vice ,61935,707,Serena Scott Thomas,0.0,1960s|based on novel|ex boyfriend ex girlfriend relationship|southern california|voice over narration,http://www.imdb.com/title/tt1791528/?ref_=fn_tt_tt_1,242.0,English,USA,R,20000000.0,2014.0,178.0,6.7,1.85,18000,8093318.0
1844,Color,Wes Craven,224.0,85.0,0.0,178.0,Carl Gilliard,332.0,Mystery|Thriller,Robert Pine,Red Eye ,94108,1090,Suzie Plakson,0.0,airport|flight|hotel|hotel manager|plane,http://www.imdb.com/title/tt0421239/?ref_=fn_tt_tt_1,673.0,English,USA,PG-13,26000000.0,2005.0,285.0,6.5,2.35,0,57859105.0
3334,Color,David E. Talbert,52.0,96.0,68.0,1000.0,Christina Milian,3000.0,Comedy,Djimon Hounsou,Baggage Claim ,7098,8097,Boris Kodjoe,9.0,woman wearing only a man's shirt,http://www.imdb.com/title/tt1171222/?ref_=fn_tt_tt_1,41.0,English,USA,PG-13,8500000.0,2013.0,1000.0,5.0,1.85,0,21564616.0
3990,Color,Michael Gornick,95.0,85.0,10.0,178.0,Holt McCallany,3000.0,Comedy|Fantasy|Horror|Thriller,George Kennedy,Creepshow 2 ,15956,3617,Dorothy Lamour,0.0,anthology|hit and run|hit by a car|living statue|melting woman,http://www.imdb.com/title/tt0092796/?ref_=fn_tt_tt_1,118.0,English,USA,R,3500000.0,1987.0,273.0,6.0,1.85,1000,14000000.0
2768,Color,Oliver Stone,72.0,145.0,0.0,560.0,Tom Berenger,10000.0,Biography|Drama|War,Tom Cruise,Born on the Fourth of July ,76842,12098,Stephen Baldwin,0.0,desert|drunkenness|religious mother|strict mother|vietnam war,http://www.imdb.com/title/tt0096969/?ref_=fn_tt_tt_1,173.0,English,USA,R,14000000.0,1989.0,854.0,7.2,2.35,4000,70001698.0
1316,Color,Marc F. Adler,41.0,94.0,0.0,379.0,Anne Bancroft,795.0,Adventure|Animation|Comedy|Fantasy|Romance,Eric Idle,Delgo ,2458,2449,Kelly Ripa,1.0,box office flop|computer animation|one word title|surrealism|villainess,http://www.imdb.com/title/tt0361500/?ref_=fn_tt_tt_1,26.0,English,USA,PG,40000000.0,2008.0,754.0,4.4,1.85,211,511920.0
1041,Color,Neill Blomkamp,371.0,120.0,662.0,502.0,Sharlto Copley,20000.0,Action|Crime|Drama|Sci-Fi|Thriller,Hugh Jackman,Chappie ,172965,23051,Jose Pablo Cantillo,0.0,artificial intelligence|consciousness|future|mind uploading|robot,http://www.imdb.com/title/tt1823672/?ref_=fn_tt_tt_1,627.0,English,USA,R,49000000.0,2015.0,2000.0,6.9,2.35,67000,31569268.0
